function,count,library
numpy.any,33,pandas
numpy.timedelta64,32,xarray
numpy.int8,32,skimage
numpy.datetime64,32,xarray
numpy.ndarray.nonzero,32,pandas
numpy.any,32,skimage
numpy.sin,32,skimage
numpy.ndarray.repeat,32,pandas
numpy.float32,31,xarray
numpy.eye,31,skimage
numpy.inf,31,matplotlib
numpy.int32,31,matplotlib
numpy.ndarray.tolist,30,pandas
numpy.allclose,30,skimage
numpy.sqrt,30,matplotlib
numpy.amin,30,matplotlib
numpy.unique,30,skimage
numpy.integer,29,pandas
numpy.ma.core.MaskedArray.ndim,29,matplotlib
numpy.random.mtrand.RandomState.choice,28,pandas
numpy.hypot,28,matplotlib
numpy.issubdtype,28,xarray
numpy.amin,28,pandas
numpy.zeros,28,xarray
numpy.newaxis,28,matplotlib
builtins.iter,28,xarray
numpy.int32,27,skimage
numpy.uint16,27,skimage
numpy.testing._private.utils.assert_almost_equal,27,matplotlib
numpy.random.mtrand.RandomState,27,skimage
numpy.isfinite,27,matplotlib
numpy.ndarray.base,27,pandas
numpy.percentile,27,pandas
numpy.amax,27,pandas
numpy.ndarray.all,27,xarray
numpy.eye,27,dask.array
numpy.ndarray.fill,27,pandas
numpy.concatenate,26,skimage
numpy.putmask,26,pandas
numpy.empty,26,dask.array
numpy.amax,26,matplotlib
numpy.nanmax,26,dask.array
numpy.ceil,26,matplotlib
numpy.log10,26,matplotlib
numpy.linalg,25,skimage
numpy.column_stack,25,matplotlib
numpy.generic.astype,25,pandas
numpy.inf,25,skimage
numpy.ndarray.flatten,25,matplotlib
numpy.sum,25,matplotlib
numpy.random.mtrand.RandomState.random,25,pandas
numpy.prod,25,pandas
numpy.ceil,25,skimage
numpy.ndarray.size,24,xarray
numpy.ma.core.masked_invalid,24,matplotlib
numpy.ndarray.dtype,24,matplotlib
numpy.issubdtype,24,skimage
numpy.dot,24,dask.array
numpy.reshape,24,skimage
numpy.repeat,24,matplotlib
numpy.empty_like,23,skimage
numpy.ndarray.max,23,pandas
numpy.linalg,23,dask.array
numpy.int64,23,xarray
numpy.sort,23,pandas
numpy.ma.core.MaskedArray.mask,23,matplotlib
numpy.exp,23,skimage
numpy.random.mtrand.RandomState.rand,23,matplotlib
numpy.amin,23,skimage
numpy.nanmin,23,dask.array
numpy.absolute,23,pandas
numpy.empty,23,matplotlib
numpy.diagonal,22,dask.array
numpy.tile,22,matplotlib
numpy.diff,22,matplotlib
numpy.nanprod,22,dask.array
numpy.dot,22,matplotlib
numpy.full,22,skimage
numpy.ndarray.ravel,22,xarray
numpy.random.mtrand.RandomState,21,pandas
numpy.all,21,matplotlib
numpy.max,21,skimage
numpy.ndarray.any,21,matplotlib
numpy.clip,21,matplotlib
numpy.random.mtrand.RandomState.normal,21,matplotlib
numpy.log,21,matplotlib
numpy.ndarray.T,20,xarray
numpy.testing._private.utils.assert_allclose,20,xarray
numpy.iinfo.max,20,pandas
numpy.ma.core.MaskedArray.ndim,20,dask.array
numpy.number,20,pandas
numpy.random.mtrand.RandomState.randn,20,skimage
numpy.intp,20,dask.array
numpy.vstack,20,skimage
numpy.ravel,20,matplotlib
numpy.floor,19,matplotlib
numpy.take,19,pandas
numpy.random.mtrand.RandomState.rand,19,dask.array
numpy.random.mtrand.RandomState.normal,19,skimage
numpy.ma.core.MaskedArray.dtype,19,pandas
numpy.einsum,19,xarray
numpy.random.normal,19,matplotlib
numpy.linspace,19,pandas
numpy.iinfo,19,pandas
numpy.argmin,19,dask.array
numpy.ndarray.argsort,19,pandas
numpy.nan,19,skimage
numpy.ma.masked_array,18,dask.array
numpy.ndarray.searchsorted,18,pandas
numpy.concatenate,18,dask.array
numpy.mean,18,xarray
numpy.asarray,18,dask.array
numpy.uint8,18,matplotlib
numpy.nanvar,18,dask.array
numpy.ndarray.copy,18,matplotlib
numpy.nanstd,18,dask.array
numpy.where,18,dask.array
numpy.exp,18,matplotlib
numpy.ndarray,18,skimage
numpy.asanyarray,18,matplotlib
numpy.ndarray.flat,17,matplotlib
numpy.errstate,17,matplotlib
