function,count
numpy.dtype.name,2
numpy.float64.shape,1
numpy.random.rand,13
numpy.min_scalar_type,4
numpy.unique,30
numpy.ndarray.min,53
numpy.bool,57
numpy.ndarray.flat,11
numpy.ndarray.flat =,1
numpy.random.uniform,14
numpy.random.mtrand.RandomState.randint,12
numpy.zeros_like,46
numpy.ndarray.nonzero,3
numpy.full,22
numpy.loadtxt,1
numpy.deg2rad,13
numpy.maximum,9
numpy.logical_and,11
numpy.rad2deg,3
numpy.percentile,5
numpy.logical_not,9
numpy.random.mtrand.RandomState,27
numpy.int,13
numpy.isscalar,17
numpy.eye,31
numpy.flagsobj.writeable =,3
numpy.ceil,25
numpy.ogrid,7
numpy.minimum,5
numpy.ndarray.fill,5
numpy.dot,1
numpy.integer,10
numpy.diag,4
numpy.mgrid,39
numpy.arcsin,1
numpy.ellipeinc,1
numpy.ellipkinc,1
numpy.round,1
numpy.ndarray.sum,74
numpy.transpose,13
numpy.random.mtrand.RandomState.uniform,12
numpy.ndarray.any,13
numpy.random.mtrand.RandomState.choice,7
numpy.ndarray.all,48
numpy.shape,1
numpy.ndarray.flatten,10
numpy.generic.astype,3
numpy.promote_types,1
numpy.ndarray.ravel,73
numpy.bincount,6
numpy.int8,32
numpy.histogram,4
numpy.float16,4
numpy.ndarray.cumsum,2
numpy.interp,4
numpy.polyfit,1
numpy.float_,4
numpy.nan,19
numpy.pad,80
numpy.apply_along_axis,4
numpy.count_nonzero,7
numpy.product,7
numpy.cumsum,17
numpy.ndindex,3
numpy.take_along_axis,1
numpy.square,5
numpy.log,12
numpy.abs,6
numpy.log2,5
numpy.double,68
numpy.allclose,30
numpy.ndarray.transpose,4
numpy.mean,39
numpy.argsort,12
numpy.hstack,16
numpy.argmax,13
numpy.logspace,1
numpy.dstack,3
numpy.logical_or,2
numpy.inf,25
numpy.delete,1
numpy.random.mtrand.RandomState.randn,20
numpy.isinf,2
numpy.random.mtrand.RandomState.seed,17
numpy.intp,15
numpy.ndarray.view,13
numpy.int32,27
numpy.ndarray.itemsize,3
numpy.ndarray.strides =,1
numpy.column_stack,8
numpy.linalg,25
numpy.gradient,7
numpy.linalg.eigvalsh,2
numpy.argmin,8
numpy.min,3
numpy.linalg.det,4
numpy.random.seed,3
numpy.sort,11
numpy.linalg.solve,2
numpy.spacing,1
numpy.linalg.LinAlgError,2
numpy.isfinite,4
numpy.diff,9
numpy.ndarray.swapaxes,2
numpy.flatnonzero,4
numpy.copy,10
numpy.atleast_2d,6
numpy.max,21
numpy.rot90,5
numpy.ndarray.argmax,5
numpy.roll,13
numpy.bool_,16
numpy.ndarray.argsort,3
numpy.linalg.svd,6
numpy.isclose,3
numpy.linalg.inv,6
numpy.ndarray.tolist,7
numpy.uint32,16
numpy.tri,5
numpy.less,1
numpy.divide,1
numpy.unravel_index,10
numpy.random.normal,4
numpy.prod,5
numpy.true_divide,2
numpy.signedinteger,2
numpy.int16,12
numpy.apply_over_axes,10
numpy.testing.assert_almost_equal,2
numpy.random.randint,7
numpy.tile,9
numpy.complex,1
numpy.real,8
numpy.ndarray.std,34
numpy.dtype.char,4
numpy.sign,2
numpy.fft.ifftshift,1
numpy.testing._private.utils.assert_,55
numpy.unsignedinteger,1
numpy.subtract,3
numpy.ix_,1
numpy.ufunc.reduce,5
numpy.testing._private.utils.assert_array_less,13
numpy.__version__,1
numpy.lib.arraypad._as_pairs,1
numpy.convolve,1
numpy.invert,7
numpy.std,2
numpy.array_equal,4
numpy.add,4
numpy.int64.ndim,1
numpy.linalg.norm,5
numpy.lib.stride_tricks.as_strided,3
numpy.random.mtrand,1
numpy.reciprocal,1
numpy.ndarray.shape =,4
numpy.int_,1
numpy.indices,5
numpy.insert,3
numpy.full_like,1
numpy.typecodes,1
numpy.sctype2char,1
numpy.ndarray.tobytes,1
numpy.floor_divide,1
numpy.fromfile,1
numpy.ndarray.strides,6
numpy.median,4
numpy.random.mtrand.RandomState.normal,19
numpy.cross,3
numpy.einsum,1
numpy.linalg.eig,3
numpy.nan_to_num,1
numpy.arctan,2
numpy.linalg.pinv,1
numpy.random.RandomState,1
numpy.random.mtrand._rand,1
numpy.c_,1
numpy.frombuffer,1
numpy.fliplr,4
numpy.tril,1
numpy.flip,1
numpy.ndarray.dot,1
numpy.uint,1
numpy.set_printoptions,1
numpy.result_type,1
numpy.random.randn,8
numpy.uint64,7
numpy.ptp,2
numpy.finfo.resolution,2
numpy.cumprod,1
numpy.flagsobj.f_contiguous,1
numpy.flagsobj.c_contiguous,2
numpy.finfo.min,1
numpy.finfo.max,1
numpy.ravel_multi_index,3
numpy.logical_xor,1
numpy.in1d,2
numpy.take,1
numpy.random.mtrand.RandomState.permutation,1
numpy.lexsort,1
numpy.fmax,3
numpy.ndarray.conj,4
numpy.fix,2
numpy.complex128.imag,1
numpy.generic.conj,1
numpy.complex128.real,1
numpy.fft.fftfreq,2
numpy.tensordot,1
numpy.atleast_3d,6
numpy.random.mtrand.RandomState.standard_normal,5
numpy.testing._private.utils.assert_warns,2
numpy.ma,16
numpy.ndarray.clip,2
numpy.nditer,1
numpy.nditer.multi_index,1
numpy.ma.array,5
numpy.ma.core.array,5
numpy.ma.core.MaskedArray.ndim,8
numpy.ma.core.isMaskedArray,10
numpy.conjugate,2
numpy.iscomplexobj,1
numpy.NAN,1
