function,count
numpy.flipud,1
numpy.iscomplexobj,1
numpy.angle,4
numpy.unwrap,3
numpy.testing._private.utils.assert_array_almost_equal,41
numpy.ma.core.reshape,1
numpy.random.mtrand.RandomState.random_sample,1
numpy.ma.core.arctan2,1
numpy.ma.mask_or,1
numpy.allclose,9
numpy.testing.assert_allclose,4
numpy.int8,4
numpy.ma.core.masked_greater,1
numpy.bincount,9
Type[numpy.datetime64].__mro__,1
numpy.datetime64.tzinfo,1
numpy.int64,2
numpy.ndarray.ctypes,1
numpy.core._internal._ctypes.data,1
numpy.vectorize,1
numpy.<numpy.vectorize object at 0x7fc008c09970>,1
numpy.<numpy.vectorize object at 0x7fbf9005ca60>,1
numpy.<numpy.vectorize object at 0x7fbfa1428760>,1
numpy.<numpy.vectorize object at 0x7fbfa1428e50>,1
numpy.<numpy.vectorize object at 0x7fbfa1428ca0>,1
numpy.<numpy.vectorize object at 0x7fbff83f1580>,1
Type[numpy.str_].__mro__,1
numpy.<numpy.vectorize object at 0x7fbff8a38790>,1
numpy.<numpy.vectorize object at 0x7fbff85871f0>,1
numpy.<numpy.vectorize object at 0x7fbfd926d1f0>,1
numpy.<numpy.vectorize object at 0x7fbff85359d0>,1
numpy.<numpy.vectorize object at 0x7fbfe8ceab80>,1
numpy.<numpy.vectorize object at 0x7fc008bc1220>,1
numpy.<numpy.vectorize object at 0x7fbfa1710520>,1
numpy.<numpy.vectorize object at 0x7fc0088b4310>,1
numpy.<numpy.vectorize object at 0x7fbfb8071580>,1
Type[numpy.bytes_].__mro__,1
numpy.<numpy.vectorize object at 0x7fbfa147ec70>,1
builtins.bytes.decode,1
numpy.bytes_.decode,1
numpy.<numpy.vectorize object at 0x7fbfa14a3ee0>,1
numpy.<numpy.vectorize object at 0x7fc0088eaa90>,1
numpy.<numpy.vectorize object at 0x7fbfa8292d30>,1
numpy.<numpy.vectorize object at 0x7fbfa82c4e80>,1
numpy.<numpy.vectorize object at 0x7fbf883641c0>,1
numpy.<numpy.vectorize object at 0x7fbff8908910>,1
numpy.<numpy.vectorize object at 0x7fbfa14960a0>,1
numpy.<numpy.vectorize object at 0x7fc0191005e0>,1
numpy.<numpy.vectorize object at 0x7fbfb8095370>,1
numpy.<numpy.vectorize object at 0x7fc008a132e0>,1
numpy.<numpy.vectorize object at 0x7fbfe8c17c70>,1
numpy.<numpy.vectorize object at 0x7fc018d82940>,1
numpy.<numpy.vectorize object at 0x7fbfd9102400>,1
numpy.<numpy.vectorize object at 0x7fc018bc9700>,1
numpy.<numpy.vectorize object at 0x7fbff85874c0>,1
numpy.<numpy.vectorize object at 0x7fbff85877f0>,1
numpy.<numpy.vectorize object at 0x7fbfd882a250>,1
numpy.<numpy.vectorize object at 0x7fbfd882a940>,1
numpy.<numpy.vectorize object at 0x7fbfc8f40b20>,1
numpy.<numpy.vectorize object at 0x7fbfc8f402e0>,1
numpy.<numpy.vectorize object at 0x7fbfc8f40190>,1
numpy.<numpy.vectorize object at 0x7fc0289cc4c0>,1
numpy.<numpy.vectorize object at 0x7fc0289cc760>,1
numpy.<numpy.vectorize object at 0x7fbfd9100490>,1
numpy.testing._private.utils.assert_approx_equal,1
numpy.ndarray.data,1
numpy.fliplr,1
numpy.ma.core.mask_or,1
numpy.ndenumerate,1
numpy.generic.ravel,1
numpy.testing._private.utils.assert_almost_equal,27
numpy.random.mtrand.RandomState.uniform,1
numpy.testing._private.utils.assert_equal,5
numpy.logspace,3
numpy.ogrid,3
numpy.ndarray.byteswap,2
numpy.ndarray.newbyteorder,3
numpy.ma.masked_array,3
numpy.Inf,1
numpy.longdouble,2
numpy.finfo.resolution,1
numpy.ndarray.ptp,2
numpy.ma.extras.masked_all,1
numpy.ndarray.view,1
numpy.radians,7
numpy.putmask,4
numpy.gradient,1
numpy.square,1
numpy.ndarray.dot,1
numpy.moveaxis,1
numpy.dstack,4
numpy.linalg.norm,4
numpy.tensordot,1
numpy.take,1
numpy.argmin,6
numpy.float64.ndim,1
numpy.argsort,1
builtins.str.lower,2
numpy.<numpy.vectorize object at 0x7fbfc85173a0>,1
numpy.<numpy.vectorize object at 0x7fbfc8517400>,1
numpy.uint16,3
numpy.ma.core.concatenate,1
numpy.identity,2
numpy.copy,2
numpy.ma.core.MaskedArray.all,4
numpy.int32,31
numpy.ndarray.tobytes,1
numpy.prod,2
numpy.ndarray.base,2
numpy.lib.stride_tricks.DummyArray.base,2
numpy.core.records.fromrecords,1
numpy.recarray.dtype,1
numpy.rec,1
numpy.complex128.real,2
numpy.ndarray.argmax,2
numpy.testing._private.utils.assert_array_almost_equal_nulp,1
numpy.testing.assert_array_almost_equal,2
numpy.linalg.LinAlgError,2
numpy.inner,1
numpy.c_,1
numpy.ndarray.__getitem__,1
builtins.ndarray.__setitem__,1
numpy.ndarray.imag,2
numpy.random.uniform,2
numpy.blackman,1
numpy.ma.core.sqrt,1
numpy.ma.extras.hstack,1
numpy.float64.shape,1
numpy.abs,1
numpy.delete,1
numpy.ix_,5
numpy.ma.testutils.assert_array_almost_equal,3
numpy.testing._private.utils.assert_array_less,3
numpy.outer,1
numpy.insert,2
numpy.logical_not,1
numpy.around,1
numpy.in1d,1
numpy.lexsort,1
numpy.isfortran,2
numpy.arctan,1
numpy.eye,1
