function,count
numpy.float16.dtype,1
numpy.transpose,9
numpy.float32.ndim,1
numpy.float32.values,1
numpy.float_,13
numpy.float64.values,1
numpy.unicode_,2
numpy.ndarray.values,1
numpy.random.randn,3
numpy.complex64,3
numpy.bytes_,2
numpy.matrix,1
numpy.ndarray.round,7
numpy.complex_,4
numpy.int8.dtype,3
numpy.uint8.dtype,3
numpy.uint16.dtype,5
numpy.uint32.dtype,3
numpy.ulonglong,2
numpy.ulonglong.dtype,2
numpy.complex64.dtype,2
numpy.str_.dtype,4
numpy.bytes_.dtype,2
numpy.bool_.index,1
numpy.random.uniform,2
numpy.ndarray.var,1
numpy.random.mtrand.RandomState.random,25
numpy.bool_.item,2
builtins.function.__name__,3
numpy.dot,14
numpy.isclose,2
numpy.percentile,27
numpy.fft.fft,1
numpy.fft.rfft,1
numpy.abs,3
numpy.cumprod,6
numpy.maximum,6
numpy.minimum,6
numpy.ufunc.accumulate,9
numpy.generic.view,7
numpy.common_type,1
numpy.random.rand,1
numpy.float16,4
numpy.pi,3
numpy.e,1
numpy.core.records.fromarrays,4
numpy.recarray.dtype,11
numpy.ma.masked_all,6
numpy.ma.core.getmaskarray,3
numpy.ma.core.MaskedArray.dtype,19
numpy.ma.core._arraymethod.<locals>.wrapped_method,3
numpy.ma.mrecords.MaskedRecords,1
numpy.ma.core.MaskedArray.soften_mask,2
numpy.ma.extras.masked_all,8
numpy.ma.core.MaskedArray.harden_mask,2
numpy.ma.ones,1
numpy.ma,7
numpy.ma.core.<numpy.ma.core._convert2ma object at 0x7fa8c8089670>,1
numpy.ma.mrecords.mrecarray,1
numpy.ma.mrecords.MaskedRecords.fill_value,1
numpy.ma.masked_array,1
numpy.ma.core.MaskedArray,2
numpy.ma.mrecords.fromarrays,1
numpy.ma.core.getdata,1
numpy.ma.core.MaskedArray.filled,1
numpy.core,2
numpy.dtype.descr,1
numpy.rec,5
builtins.float.is_integer,1
numpy.shape,4
numpy.compress,5
numpy.generic,1
builtins.str.ljust,1
numpy.isnat,1
numpy.float,5
numpy.ix_,1
numpy.random.normal,2
numpy.random.random,3
numpy.flatnonzero,4
numpy.interp,2
numpy.flagsobj.writeable,4
numpy.s_,1
numpy.<numpy.vectorize object at 0x7fa97ab525e0>,1
numpy.<numpy.vectorize object at 0x7fa97ab52520>,1
numpy.vectorize,6
numpy.<numpy.vectorize object at 0x7fa97ab52160>,1
numpy.<numpy.vectorize object at 0x7fa97ab5d2b0>,1
numpy.<numpy.vectorize object at 0x7fa97ab5d160>,1
numpy.<numpy.vectorize object at 0x7fa97ab5d370>,1
numpy.<numpy.vectorize object at 0x7fa97ab5d940>,1
numpy.<numpy.vectorize object at 0x7fa97ab5d910>,1
numpy.<numpy.vectorize object at 0x7fa97ab5dd30>,1
numpy.<numpy.vectorize object at 0x7fa97ab52e50>,1
numpy.<numpy.vectorize object at 0x7fa97ab5db80>,1
numpy.<numpy.vectorize object at 0x7fa97ab644f0>,1
numpy.<numpy.vectorize object at 0x7fa97ab64b20>,1
numpy.<numpy.vectorize object at 0x7fa97ab649a0>,1
numpy.<numpy.vectorize object at 0x7fa97ab64a00>,1
numpy.<numpy.vectorize object at 0x7fa97ab64a30>,1
numpy.<numpy.vectorize object at 0x7fa97ab64e50>,1
numpy.<numpy.vectorize object at 0x7fa97ab64d60>,1
numpy.<numpy.vectorize object at 0x7fa97ab692b0>,1
numpy.<numpy.vectorize object at 0x7fa97ab69340>,1
numpy.<numpy.vectorize object at 0x7fa97ab698b0>,1
numpy.<numpy.vectorize object at 0x7fa97ab69310>,1
numpy.<numpy.vectorize object at 0x7fa97ab69a60>,1
numpy.<numpy.vectorize object at 0x7fa97ab69a30>,1
numpy.<numpy.vectorize object at 0x7fa97ab69ca0>,1
numpy.<numpy.vectorize object at 0x7fa97ab69940>,1
numpy.<numpy.vectorize object at 0x7fa97ab69e20>,1
numpy.<numpy.vectorize object at 0x7fa97ab69a90>,1
numpy.<numpy.vectorize object at 0x7fa97ab69dc0>,1
numpy.<numpy.vectorize object at 0x7fa97ab6f5b0>,1
numpy.<numpy.vectorize object at 0x7fa97ab6f610>,1
numpy.<numpy.vectorize object at 0x7fa97ab6f640>,1
numpy.<numpy.vectorize object at 0x7fa97ab6f8b0>,1
numpy.<numpy.vectorize object at 0x7fa97ab6f9a0>,1
numpy.<numpy.vectorize object at 0x7fa97ab6f7c0>,1
numpy.<numpy.vectorize object at 0x7fa97ab6fc40>,1
numpy.<numpy.vectorize object at 0x7fa97ab6fd30>,1
numpy.<numpy.vectorize object at 0x7fa97ab6f220>,1
numpy.<numpy.vectorize object at 0x7fa97ab6fca0>,1
numpy.<numpy.vectorize object at 0x7fa97ab6ffa0>,1
numpy.<numpy.vectorize object at 0x7fa97ab780d0>,1
numpy.<numpy.vectorize object at 0x7fa97ab78250>,1
numpy.<numpy.vectorize object at 0x7fa97ab78340>,1
numpy.<numpy.vectorize object at 0x7fa97ab78610>,1
numpy.<numpy.vectorize object at 0x7fa97ab78130>,1
numpy.<numpy.vectorize object at 0x7fa97ab787f0>,1
numpy.<numpy.vectorize object at 0x7fa97ab78760>,1
numpy.<numpy.vectorize object at 0x7fa97ab78970>,1
numpy.<numpy.vectorize object at 0x7fa97ab78f70>,1
numpy.<numpy.vectorize object at 0x7fa97ab7d220>,1
numpy.<numpy.vectorize object at 0x7fa97ab7d550>,1
numpy.<numpy.vectorize object at 0x7fa97ab7da00>,1
numpy.<numpy.vectorize object at 0x7fa97ab7dd60>,1
numpy.<numpy.vectorize object at 0x7fa97ab7df10>,1
numpy.<numpy.vectorize object at 0x7fa97ab7d670>,1
numpy.<numpy.vectorize object at 0x7fa97ab82190>,1
numpy.<numpy.vectorize object at 0x7fa97ab82520>,1
numpy.<numpy.vectorize object at 0x7fa97ab826a0>,1
numpy.<numpy.vectorize object at 0x7fa97ab823a0>,1
numpy.<numpy.vectorize object at 0x7fa97ab82310>,1
numpy.<numpy.vectorize object at 0x7fa97ab82dc0>,1
numpy.<numpy.vectorize object at 0x7fa97ab82fa0>,1
numpy.<numpy.vectorize object at 0x7fa97ab8c2e0>,1
numpy.<numpy.vectorize object at 0x7fa97ab8c3d0>,1
numpy.<numpy.vectorize object at 0x7fa97ab8c640>,1
numpy.<numpy.vectorize object at 0x7fa97ab8c730>,1
numpy.<numpy.vectorize object at 0x7fa97ab8c9d0>,1
numpy.<numpy.vectorize object at 0x7fa97ab8cf70>,1
numpy.<numpy.vectorize object at 0x7fa97ab92280>,1
numpy.<numpy.vectorize object at 0x7fa97ab92490>,1
numpy.<numpy.vectorize object at 0x7fa97ab92a60>,1
numpy.atleast_1d,1
builtins.str.startswith,1
numpy.round,3
numpy.dtype.fields,1
numpy.core.records.array,4
numpy.recarray,1
numpy.int64.attrs,1
numpy.array_split,2
numpy.ndarray.flatten,2
numpy.generic.squeeze,1
numpy.ufunc.reduceat,1
numpy.outer,1
numpy.size,4
numpy.random.mtrand.RandomState.random_sample,3
numpy.ndarray._values,1
numpy.intersect1d,5
numpy.exp2,5
numpy.arcsin,5
numpy.arctan,5
numpy.cosh,5
numpy.arcsinh,5
numpy.arctanh,5
numpy.rad2deg,5
numpy.expm1,3
numpy.log1p,3
numpy.tan,3
numpy.arccos,3
numpy.sinh,3
numpy.tanh,3
numpy.arccosh,3
numpy.deg2rad,3
numpy.lib.stride_tricks,2
numpy.ndarray.itemsize,1
numpy.lib,2
numpy.lib.stride_tricks.as_strided,2
numpy.frombuffer,5
numpy.ndarray.tobytes,2
numpy.core.multiarray._reconstruct,1
numpy.ndarray.__setstate__,1
numpy.ndarray.byteswap,1
numpy.ndarray.newbyteorder,1
numpy.<numpy.vectorize object at 0x7fa91cd0b880>,1
numpy.finfo,6
numpy.double,1
numpy.finfo.eps,2
numpy.finfo.max,3
numpy.ediff1d,1
builtins.bytes.rstrip,1
numpy.ravel,1
numpy.histogram,1
numpy.ma.core.array,1
numpy.ma.core.masked_where,1
numpy.ma.core.MaskedArray.mask,2
builtins.bytes.decode,1
numpy.random.mtrand.RandomState.normal,3
numpy.random.mtrand.RandomState.set_state,1
numpy.random.mtrand.RandomState.lognormal,1
numpy.loadtxt,2
numpy.frexp,1
numpy.logaddexp,10
numpy.divmod,3
numpy.timedelta64.astype,4
numpy.datetime64.view,2
numpy.ptp,1
numpy.ma.core.MaskedArray.ndim,2
numpy.ma.core.MaskedArray.view,1
numpy.positive,2
numpy.ufunc.outer,1
numpy.fix,1
numpy.resize,1
numpy.ndarray.strides,1
numpy.finfo.min,1
numpy.nextafter,1
numpy.datetime64.astype,2
numpy.dtype.char,1
numpy.<numpy.vectorize object at 0x7fa94e3ac880>,1
numpy.<numpy.vectorize object at 0x7fa94e3ac7f0>,1
